created_at,travel_at,from_place,to_place
02.01.2019 12:05,02.01.2019 17:50,Neuburg a. Inn,Passau
02.01.2019 12:05,03.01.2019 06:28,Neuburg a. Inn,Passau
02.01.2019 12:12,02.01.2019 15:11,Untergriesbach,Passau
02.01.2019 12:12,02.01.2019 14:38,Untergriesbach,Passau
02.01.2019 12:12,02.01.2019 17:36,Untergriesbach,Passau
02.01.2019 14:47,02.01.2019 22:00,Passau,Neuhaus a. Inn
02.01.2019 14:47,02.01.2019 20:30,Passau,Neuhaus a. Inn
02.01.2019 14:47,03.01.2019 09:03,Passau,Neuhaus a. Inn
02.01.2019 15:08,02.01.2019 15:08,Tiefenbach (Kreis Passau),Passau
02.01.2019 15:08,02.01.2019 16:18,Tiefenbach (Kreis Passau),Passau
02.01.2019 15:09,02.01.2019 14:24,Tiefenbach (Kreis Passau),Passau
02.01.2019 15:25,02.01.2019 15:25,Passau,Hutthurm
02.01.2019 16:53,03.01.2019 09:53,Tittling,Passau
02.01.2019 16:54,03.01.2019 14:01,Tittling,Passau
02.01.2019 16:54,03.01.2019 09:01,Tittling,Passau
02.01.2019 16:54,03.01.2019 09:53,,Tittling
02.01.2019 16:55,03.01.2019 09:18,,Tittling
02.01.2019 16:55,03.01.2019 15:19,,Tittling
02.01.2019 16:56,03.01.2019 06:56,Tittling,Passau
02.01.2019 16:56,03.01.2019 10:00,Tittling,Passau
02.01.2019 16:56,03.01.2019 14:00,Tittling,Passau
02.01.2019 17:00,02.01.2019 17:00,Passau,Neuburg am Inn - Neukirchen am Inn
02.01.2019 17:00,02.01.2019 19:06,Passau,Neuburg am Inn - Neukirchen am Inn
02.01.2019 17:00,02.01.2019 16:40,Passau,Neuburg am Inn - Neukirchen am Inn
02.01.2019 17:09,03.01.2019 09:08,94104 Witzmannsberg,Tittling
02.01.2019 17:09,03.01.2019 11:04,94104 Witzmannsberg,Tittling
02.01.2019 17:09,03.01.2019 07:29,94104 Witzmannsberg,Tittling
02.01.2019 17:10,03.01.2019 17:04,94104 Witzmannsberg,Tittling
02.01.2019 17:10,03.01.2019 06:56,Passau,Tittling
02.01.2019 17:10,03.01.2019 11:47,Passau,Tittling
02.01.2019 17:10,03.01.2019 14:47,Passau,Tittling
02.01.2019 17:10,03.01.2019 17:22,Passau,Tittling
02.01.2019 17:12,02.01.2019 17:12,Passau,Neuburg am Inn - Neukirchen am Inn
02.01.2019 17:12,02.01.2019 20:21,Passau,Neuburg am Inn - Neukirchen am Inn
02.01.2019 17:12,02.01.2019 17:05,Passau,Neuburg am Inn - Neukirchen am Inn
02.01.2019 17:29,02.01.2019 17:29,Neuburg a. Inn,Neuburg a. Inn
02.01.2019 17:29,02.01.2019 17:12,Neuburg a. Inn,Neuburg a. Inn
02.01.2019 17:29,02.01.2019 13:44,Neuburg a. Inn,Neuburg a. Inn
02.01.2019 17:29,03.01.2019 08:07,Neuburg a. Inn,Neuburg a. Inn
02.01.2019 17:35,02.01.2019 17:35,Neuhaus a. Inn,Neuburg a. Inn
02.01.2019 17:35,02.01.2019 17:28,Neuhaus a. Inn,Neuburg a. Inn
02.01.2019 17:35,03.01.2019 06:40,Neuhaus a. Inn,Neuburg a. Inn
02.01.2019 20:34,03.01.2019 17:33,Hutthurm,
02.01.2019 20:34,04.01.2019 07:14,Hutthurm,
02.01.2019 20:34,03.01.2019 17:22,Hutthurm,
02.01.2019 20:34,03.01.2019 10:32,Hutthurm,
02.01.2019 20:34,03.01.2019 09:34,Windorf,Passau
02.01.2019 20:34,03.01.2019 13:50,Windorf,Passau
02.01.2019 20:34,03.01.2019 17:20,Windorf,Passau
02.01.2019 20:35,04.01.2019 08:00,Windorf,Passau
02.01.2019 20:35,03.01.2019 17:33,Hutthurm,
02.01.2019 20:35,03.01.2019 15:03,Hutthurm,
02.01.2019 20:35,04.01.2019 11:36,Hutthurm,
02.01.2019 20:37,03.01.2019 17:36,Hutthurm,
02.01.2019 20:37,03.01.2019 17:27,Hutthurm,
02.01.2019 20:37,03.01.2019 17:36,Hutthurm,Passau
02.01.2019 20:38,04.01.2019 05:51,Hutthurm,Passau
02.01.2019 20:38,03.01.2019 17:30,Hutthurm,Passau
02.01.2019 20:38,03.01.2019 15:45,Hutthurm,Passau
02.01.2019 20:40,03.01.2019 17:40,Hutthurm,Passau
02.01.2019 20:40,03.01.2019 17:22,Hutthurm,Passau
02.01.2019 20:40,03.01.2019 14:00,Hutthurm,Passau
02.01.2019 20:40,04.01.2019 06:53,Hutthurm,Passau
02.01.2019 20:42,03.01.2019 17:41,Hutthurm,Passau
02.01.2019 20:42,04.01.2019 07:04,Hutthurm,Passau
02.01.2019 20:43,03.01.2019 17:15,Hutthurm,Passau
02.01.2019 21:19,05.01.2019 13:00,Obernzell,Passau
02.01.2019 21:19,06.01.2019 15:36,Obernzell,Passau
02.01.2019 21:19,05.01.2019 11:50,Obernzell,Passau
02.01.2019 22:47,03.01.2019 13:47,Passau,Tittling
02.01.2019 22:47,03.01.2019 16:21,Passau,Tittling
02.01.2019 23:53,03.01.2019 10:00,Wegscheid,Passau
02.01.2019 23:54,03.01.2019 15:20,Wegscheid,Passau
02.01.2019 23:54,04.01.2019 06:31,Wegscheid,Passau
02.01.2019 23:54,03.01.2019 00:00,Wegscheid,Passau
02.01.2019 23:55,03.01.2019 00:00,Wegscheid,Passau
02.01.2019 23:55,03.01.2019 10:04,Wegscheid,Passau
02.01.2019 23:55,03.01.2019 14:12,Wegscheid,Passau
02.01.2019 23:56,04.01.2019 05:32,Wegscheid,Passau
03.01.2019 12:30,03.01.2019 15:30,Passau,Untergriesbach
03.01.2019 12:30,03.01.2019 17:15,Passau,Untergriesbach
03.01.2019 12:30,03.01.2019 22:30,Passau,Untergriesbach
03.01.2019 12:32,03.01.2019 14:49,Passau,Untergriesbach
03.01.2019 13:35,03.01.2019 13:35,Passau,Tittling
03.01.2019 13:35,03.01.2019 16:21,Passau,Tittling
03.01.2019 14:49,03.01.2019 14:49,Neuburg am Inn - Neukirchen am Inn,94099 Ruhstorf an der Rott
03.01.2019 14:49,03.01.2019 14:12,Neuburg am Inn - Neukirchen am Inn,94099 Ruhstorf an der Rott
03.01.2019 14:49,03.01.2019 16:51,Neuburg am Inn - Neukirchen am Inn,94099 Ruhstorf an der Rott
03.01.2019 15:35,03.01.2019 15:35,Passau,Tittling
03.01.2019 15:35,03.01.2019 17:22,Passau,Tittling
03.01.2019 15:35,03.01.2019 14:46,Passau,Tittling
03.01.2019 16:00,03.01.2019 16:00,Tittling,Ruderting
03.01.2019 16:00,03.01.2019 15:29,Tittling,Ruderting
03.01.2019 16:00,04.01.2019 05:50,Tittling,Ruderting
03.01.2019 16:52,03.01.2019 16:51,Passau,Tiefenbach (Kreis Passau)
03.01.2019 16:52,03.01.2019 18:22,Passau,Tiefenbach (Kreis Passau)
03.01.2019 16:52,03.01.2019 16:19,Passau,Tiefenbach (Kreis Passau)
03.01.2019 16:53,03.01.2019 16:53,Passau,Deining
03.01.2019 16:53,04.01.2019 12:19,Passau,Deining
03.01.2019 16:56,03.01.2019 16:56,Neuburg am Inn - Neukirchen am Inn,94099 Ruhstorf an der Rott
03.01.2019 16:56,03.01.2019 16:50,Neuburg am Inn - Neukirchen am Inn,94099 Ruhstorf an der Rott
03.01.2019 16:56,03.01.2019 14:12,Neuburg am Inn - Neukirchen am Inn,94099 Ruhstorf an der Rott
03.01.2019 17:50,03.01.2019 17:50,Passau,Windorf
03.01.2019 17:50,03.01.2019 17:18,Passau,Windorf
03.01.2019 17:50,03.01.2019 22:30,Passau,Windorf
03.01.2019 17:56,03.01.2019 17:56,Passau,Tiefenbach (Kreis Passau)
03.01.2019 17:56,03.01.2019 20:31,Passau,Tiefenbach (Kreis Passau)
03.01.2019 18:45,03.01.2019 18:45,Neuburg am Inn - Neukirchen am Inn,94099 Ruhstorf an der Rott
03.01.2019 18:45,03.01.2019 18:12,Neuburg am Inn - Neukirchen am Inn,94099 Ruhstorf an der Rott
03.01.2019 18:45,03.01.2019 17:01,Neuburg am Inn - Neukirchen am Inn,94099 Ruhstorf an der Rott
03.01.2019 19:35,05.01.2019 14:00,Büchlberg,Passau
03.01.2019 19:35,05.01.2019 14:15,Büchlberg,Passau
04.01.2019 00:01,05.01.2019 06:01,Neuburg am Inn - Neukirchen am Inn,Ruhstorf an der Rott
04.01.2019 00:01,05.01.2019 10:13,Neuburg am Inn - Neukirchen am Inn,Ruhstorf an der Rott
04.01.2019 00:01,04.01.2019 22:58,Neuburg am Inn - Neukirchen am Inn,Ruhstorf an der Rott
04.01.2019 06:13,04.01.2019 06:13,Salzweg,Passau
04.01.2019 06:13,04.01.2019 08:51,Salzweg,Passau
04.01.2019 06:14,03.01.2019 22:40,Salzweg,Passau
04.01.2019 09:50,04.01.2019 09:50,Neuburg am Inn - Neukirchen am Inn,Passau
04.01.2019 09:50,04.01.2019 11:32,Neuburg am Inn - Neukirchen am Inn,Passau
04.01.2019 09:50,04.01.2019 09:50,Neuburg am Inn - Neukirchen am Inn,Passau
04.01.2019 09:50,04.01.2019 12:03,Neuburg am Inn - Neukirchen am Inn,Passau
04.01.2019 09:52,04.01.2019 09:52,Neuburg am Inn - Neukirchen am Inn,Passau
04.01.2019 09:52,04.01.2019 12:33,Neuburg am Inn - Neukirchen am Inn,Passau
04.01.2019 11:00,04.01.2019 12:04,Untergriesbach,Passau
04.01.2019 11:01,04.01.2019 13:27,Passau,Untergriesbach
04.01.2019 11:01,04.01.2019 13:19,Passau,Untergriesbach
04.01.2019 11:01,04.01.2019 16:20,Passau,Untergriesbach
04.01.2019 11:02,04.01.2019 13:27,Passau,Untergriesbach
04.01.2019 11:02,04.01.2019 16:11,Passau,Untergriesbach
04.01.2019 11:40,04.01.2019 11:40,Passau,Untergriesbach
04.01.2019 12:50,04.01.2019 12:50,Untergriesbach,Wegscheid
04.01.2019 13:33,04.01.2019 13:33,Holle,Wegscheid
04.01.2019 13:53,04.01.2019 13:53,,Passau
04.01.2019 13:53,04.01.2019 16:31,,Passau
04.01.2019 14:08,17.01.2019 07:42,Tiefenbach (Kreis Passau),Passau
04.01.2019 14:09,17.01.2019 08:22,Tiefenbach (Kreis Passau),Passau
04.01.2019 14:09,17.01.2019 05:51,Tiefenbach (Kreis Passau),Passau
04.01.2019 14:17,11.01.2019 14:17,Fürstenzell,Passau
04.01.2019 14:17,11.01.2019 13:59,Fürstenzell,Passau
04.01.2019 14:18,11.01.2019 17:35,Fürstenzell,Passau
04.01.2019 14:32,04.01.2019 14:32,,Passau
04.01.2019 14:33,04.01.2019 14:33,,Passau
04.01.2019 14:33,04.01.2019 14:31,,Passau
04.01.2019 14:34,04.01.2019 14:34,Passau,Salzweg
04.01.2019 14:34,04.01.2019 14:14,Passau,Salzweg
04.01.2019 14:34,04.01.2019 16:57,Passau,Salzweg
04.01.2019 14:34,04.01.2019 14:34,,Passau
04.01.2019 14:34,04.01.2019 14:31,,Passau
04.01.2019 15:23,04.01.2019 15:23,Passau,Salzweg
04.01.2019 15:23,04.01.2019 15:14,Passau,Salzweg
04.01.2019 15:24,04.01.2019 15:24,Passau,Salzweg
04.01.2019 15:24,04.01.2019 15:05,Passau,Salzweg
04.01.2019 15:24,04.01.2019 17:06,Passau,Salzweg
04.01.2019 16:26,04.01.2019 16:18,Passau,Tiefenbach (Kreis Passau)
04.01.2019 16:26,04.01.2019 18:17,Passau,Tiefenbach (Kreis Passau)
04.01.2019 16:40,04.01.2019 17:40,Tiefenbach,Tiefenbach (Kreis Passau)
04.01.2019 16:40,04.01.2019 19:04,Tiefenbach,Tiefenbach (Kreis Passau)
04.01.2019 16:41,04.01.2019 17:04,Tiefenbach,Tiefenbach (Kreis Passau)
04.01.2019 17:39,05.01.2019 11:39,94081 Fürstenzell,Passau
04.01.2019 17:39,05.01.2019 15:10,94081 Fürstenzell,Passau
04.01.2019 17:40,05.01.2019 17:10,94081 Fürstenzell,Passau
04.01.2019 23:50,05.01.2019 12:30,Tiefenbach (Kreis Passau),Passau
05.01.2019 01:48,06.01.2019 07:48,Fürstenzell,Passau
05.01.2019 01:48,06.01.2019 13:25,Fürstenzell,Passau
05.01.2019 01:48,06.01.2019 07:13,Fürstenzell,Passau
05.01.2019 11:59,05.01.2019 13:00,Tiefenbach (Kreis Passau),Passau
05.01.2019 11:59,05.01.2019 12:40,Tiefenbach (Kreis Passau),Passau
05.01.2019 11:59,06.01.2019 10:24,Tiefenbach (Kreis Passau),Passau
05.01.2019 12:06,05.01.2019 12:06,Neuburg am Inn - Neukirchen am Inn,Ruhstorf an der Rott
05.01.2019 12:06,05.01.2019 14:51,Neuburg am Inn - Neukirchen am Inn,Ruhstorf an der Rott
05.01.2019 14:07,05.01.2019 14:07,Passau,Salzweg
05.01.2019 14:07,05.01.2019 13:46,Passau,Salzweg
05.01.2019 14:07,05.01.2019 20:31,Passau,Salzweg
05.01.2019 14:56,11.01.2019 18:56,Passau,Fürstenzell
05.01.2019 14:57,11.01.2019 18:08,Passau,Fürstenzell
05.01.2019 14:57,11.01.2019 15:54,Passau,Fürstenzell
05.01.2019 14:57,12.01.2019 07:39,Passau,Fürstenzell
05.01.2019 14:58,11.01.2019 18:58,Passau,Fürstenzell
05.01.2019 14:58,11.01.2019 18:08,Passau,Fürstenzell
05.01.2019 14:58,11.01.2019 15:54,Passau,Fürstenzell
05.01.2019 15:03,11.01.2019 19:03,Passau,Fürstenzell
05.01.2019 15:03,11.01.2019 18:17,Passau,Fürstenzell
05.01.2019 15:04,12.01.2019 07:33,Passau,Fürstenzell
05.01.2019 15:07,11.01.2019 18:30,Passau,Passau
05.01.2019 15:07,11.01.2019 18:19,Passau,Passau
05.01.2019 15:07,11.01.2019 19:34,Passau,Passau
05.01.2019 15:10,11.01.2019 20:09,Passau,Fürstenzell
05.01.2019 16:32,05.01.2019 19:00,Passau,Tiefenbach (Kreis Passau)
05.01.2019 16:32,05.01.2019 18:21,Passau,Tiefenbach (Kreis Passau)
05.01.2019 16:33,06.01.2019 11:06,Passau,Tiefenbach (Kreis Passau)
05.01.2019 16:53,05.01.2019 11:46,Passau,Tiefenbach (Kreis Passau)
05.01.2019 16:54,05.01.2019 18:22,Passau,Tiefenbach (Kreis Passau)
05.01.2019 16:54,05.01.2019 17:46,Passau,Tiefenbach (Kreis Passau)
05.01.2019 16:54,05.01.2019 09:46,Passau,Tiefenbach (Kreis Passau)
05.01.2019 16:54,06.01.2019 07:47,Passau,Tiefenbach (Kreis Passau)
05.01.2019 17:25,05.01.2019 17:25,Passau,Salzweg
05.01.2019 17:25,06.01.2019 09:17,Passau,Salzweg
05.01.2019 17:30,05.01.2019 17:30,Salzweg,Passau
05.01.2019 17:30,06.01.2019 10:49,Salzweg,Passau
05.01.2019 17:30,05.01.2019 16:50,Salzweg,Passau
05.01.2019 22:49,05.01.2019 22:49,Passau,Salzweg
05.01.2019 22:49,05.01.2019 22:30,Passau,Salzweg
05.01.2019 22:49,06.01.2019 15:17,Passau,Salzweg
06.01.2019 10:24,08.01.2019 06:00,Aldersbach,Passau
06.01.2019 10:26,08.01.2019 06:00,Aldersbach,Passau
06.01.2019 18:05,07.01.2019 19:04,Passau,
06.01.2019 18:05,08.01.2019 07:30,Passau,
06.01.2019 18:05,07.01.2019 18:05,Passau,
06.01.2019 18:13,06.01.2019 18:13,Neuburg am Inn - Neukirchen am Inn,Passau
06.01.2019 18:13,06.01.2019 22:18,Neuburg am Inn - Neukirchen am Inn,Passau
06.01.2019 18:13,06.01.2019 18:02,Neuburg am Inn - Neukirchen am Inn,Passau
06.01.2019 18:13,06.01.2019 18:13,Ruhstorf an der Rott,Passau
06.01.2019 18:15,12.01.2019 08:15,Passau,München
06.01.2019 18:15,12.01.2019 09:34,Passau,München
06.01.2019 18:15,12.01.2019 07:24,Passau,München
06.01.2019 18:16,11.01.2019 23:21,Passau,München
06.01.2019 20:17,06.01.2019 22:35,Passau,Neuburg am Inn - Neukirchen am Inn
06.01.2019 20:17,06.01.2019 21:01,Passau,Neuburg am Inn - Neukirchen am Inn
06.01.2019 20:17,07.01.2019 06:41,Passau,Neuburg am Inn - Neukirchen am Inn
06.01.2019 23:00,06.01.2019 23:00,Passau,Neuburg am Inn - Neukirchen am Inn
07.01.2019 00:43,07.01.2019 08:00,Passau,Neuburg am Inn - Neukirchen am Inn
07.01.2019 00:43,07.01.2019 08:40,Passau,Neuburg am Inn - Neukirchen am Inn
07.01.2019 00:44,07.01.2019 08:00,Neuburg am Inn - Neukirchen am Inn,Passau
07.01.2019 00:44,07.01.2019 07:10,Neuburg am Inn - Neukirchen am Inn,Passau
07.01.2019 01:46,07.01.2019 14:05,Passau,Ruhstorf an der Rott
07.01.2019 01:46,07.01.2019 14:02,Passau,Ruhstorf an der Rott
07.01.2019 01:46,07.01.2019 16:37,Passau,Ruhstorf an der Rott
07.01.2019 01:46,07.01.2019 14:05,Passau,Ruhstorf an der Rott
07.01.2019 01:46,07.01.2019 16:15,Passau,Ruhstorf an der Rott
07.01.2019 01:46,07.01.2019 13:19,Passau,Ruhstorf an der Rott
07.01.2019 01:49,07.01.2019 14:49,Passau,Ruhstorf an der Rott
07.01.2019 01:49,07.01.2019 14:42,Passau,Ruhstorf an der Rott
07.01.2019 01:49,07.01.2019 16:57,Passau,Ruhstorf an der Rott
07.01.2019 01:52,07.01.2019 14:00,Passau,Neuburg am Inn - Neukirchen am Inn
07.01.2019 01:52,07.01.2019 14:00,Passau,Neuburg am Inn - Neukirchen am Inn
07.01.2019 01:52,07.01.2019 15:40,Passau,Neuburg am Inn - Neukirchen am Inn
07.01.2019 01:52,07.01.2019 13:16,Passau,Neuburg am Inn - Neukirchen am Inn
07.01.2019 02:01,07.01.2019 14:00,Passau,Neuburg am Inn - Neukirchen am Inn
07.01.2019 02:02,07.01.2019 14:00,Passau,Neuhaus a. Inn
07.01.2019 02:03,07.01.2019 06:03,Neuburg am Inn - Neukirchen am Inn,Passau
07.01.2019 02:03,07.01.2019 08:05,Neuburg am Inn - Neukirchen am Inn,Passau
07.01.2019 06:33,07.01.2019 06:33,94127 Neuburg am Inn,Passau
07.01.2019 06:34,07.01.2019 06:04,94127 Neuburg am Inn,Passau
07.01.2019 06:34,07.01.2019 08:21,94127 Neuburg am Inn,Passau
07.01.2019 06:46,08.01.2019 09:46,Fürstenzell,Passau
07.01.2019 06:46,08.01.2019 09:35,Fürstenzell,Passau
07.01.2019 06:49,07.01.2019 06:49,94127 Neuburg am Inn,Passau
07.01.2019 07:44,07.01.2019 12:20,Passau,Untergriesbach
07.01.2019 07:47,07.01.2019 12:15,Passau,Untergriesbach
07.01.2019 08:36,07.01.2019 08:36,94136 Thyrnau,Passau
07.01.2019 08:36,07.01.2019 11:29,94136 Thyrnau,Passau
07.01.2019 10:22,07.01.2019 10:22,94136 Thyrnau,Passau
07.01.2019 10:22,07.01.2019 13:39,94136 Thyrnau,Passau
07.01.2019 12:52,07.01.2019 12:52,Passau,Obernzell
07.01.2019 12:52,07.01.2019 15:45,Passau,Obernzell
07.01.2019 12:52,07.01.2019 11:49,Passau,Obernzell
07.01.2019 13:06,07.01.2019 16:06,Cuxhaven,Cuxhaven
07.01.2019 13:07,07.01.2019 17:39,Cuxhaven,Cuxhaven
07.01.2019 13:07,07.01.2019 20:40,Cuxhaven,Cuxhaven
07.01.2019 13:08,07.01.2019 15:38,Cuxhaven,Cuxhaven
07.01.2019 14:48,07.01.2019 14:48,Neuburg am Inn - Neukirchen am Inn,94099 Ruhstorf an der Rott
07.01.2019 14:48,07.01.2019 14:12,Neuburg am Inn - Neukirchen am Inn,94099 Ruhstorf an der Rott
07.01.2019 14:48,07.01.2019 14:48,Neuburg am Inn - Neukirchen am Inn,94099 Ruhstorf an der Rott
07.01.2019 14:59,07.01.2019 05:58,Hutthurm,Salzweg
07.01.2019 14:59,07.01.2019 05:18,Hutthurm,Salzweg
07.01.2019 14:59,14.01.2019 05:58,Hutthurm,Salzweg
07.01.2019 14:59,14.01.2019 05:18,Hutthurm,Salzweg
07.01.2019 14:59,14.01.2019 07:06,Hutthurm,Salzweg
07.01.2019 14:59,14.01.2019 08:34,Hutthurm,Salzweg
07.01.2019 15:05,14.01.2019 14:05,Salzweg,Hutthurm
07.01.2019 15:05,14.01.2019 13:36,Salzweg,Hutthurm
07.01.2019 15:05,14.01.2019 15:28,Salzweg,Hutthurm
07.01.2019 15:13,07.01.2019 15:13,Passau,Salzweg
07.01.2019 15:13,07.01.2019 16:27,Passau,Salzweg
07.01.2019 15:14,07.01.2019 14:36,Passau,Salzweg
07.01.2019 15:45,07.01.2019 15:45,Passau,Wegscheid
07.01.2019 16:10,07.01.2019 16:10,Passau,Salzweg
07.01.2019 16:10,07.01.2019 15:34,Passau,Salzweg
07.01.2019 16:10,08.01.2019 06:35,Passau,Salzweg
07.01.2019 16:10,07.01.2019 16:10,Passau,Salzweg
07.01.2019 16:11,07.01.2019 15:34,Passau,Salzweg
07.01.2019 16:11,07.01.2019 16:57,Passau,Salzweg
07.01.2019 16:11,07.01.2019 18:25,Passau,Salzweg
07.01.2019 16:34,07.01.2019 16:33,Passau,94127 Neuburg am Inn
07.01.2019 16:34,07.01.2019 18:03,Passau,94127 Neuburg am Inn
07.01.2019 16:34,07.01.2019 16:17,Passau,94127 Neuburg am Inn
07.01.2019 16:37,07.01.2019 16:37,Passau,Neukirchen vorm Wald
07.01.2019 16:37,07.01.2019 16:17,Passau,Neukirchen vorm Wald
07.01.2019 16:37,07.01.2019 20:30,Passau,Neukirchen vorm Wald
07.01.2019 18:52,07.01.2019 18:52,Passau,Salzweg
07.01.2019 18:52,08.01.2019 06:17,Passau,Salzweg
07.01.2019 18:52,07.01.2019 18:26,Passau,Salzweg
07.01.2019 20:00,08.01.2019 06:00,Vilshofen an der Donau,Passau
07.01.2019 20:00,08.01.2019 01:16,Vilshofen an der Donau,Passau
07.01.2019 20:00,08.01.2019 07:50,Vilshofen an der Donau,Passau
07.01.2019 20:19,07.01.2019 20:19,Ruhstorf an der Rott,Neuburg am Inn - Neukirchen am Inn
07.01.2019 20:19,08.01.2019 06:51,Ruhstorf an der Rott,Neuburg am Inn - Neukirchen am Inn
07.01.2019 20:19,07.01.2019 20:04,Ruhstorf an der Rott,Neuburg am Inn - Neukirchen am Inn
07.01.2019 23:12,07.01.2019 23:12,Passau,Neuhaus a. Inn
07.01.2019 23:13,07.01.2019 12:45,Passau,Neuhaus a. Inn
07.01.2019 23:13,07.01.2019 12:22,Passau,Neuhaus a. Inn
07.01.2019 23:13,07.01.2019 15:40,Passau,Neuhaus a. Inn
08.01.2019 05:26,08.01.2019 06:00,Vilshofen an der Donau,Passau
08.01.2019 05:26,08.01.2019 07:50,Vilshofen an der Donau,Passau
08.01.2019 05:26,08.01.2019 01:16,Vilshofen an der Donau,Passau
08.01.2019 05:36,08.01.2019 16:00,Passau,Vilshofen an der Donau
08.01.2019 05:36,08.01.2019 17:34,Passau,Vilshofen an der Donau
08.01.2019 06:26,08.01.2019 06:26,Fürstenzell,Passau
08.01.2019 06:26,08.01.2019 08:40,Fürstenzell,Passau
08.01.2019 06:27,08.01.2019 06:02,Fürstenzell,Passau
08.01.2019 06:45,08.01.2019 06:44,94127 Neuburg am Inn,Passau
08.01.2019 06:45,08.01.2019 06:04,94127 Neuburg am Inn,Passau
08.01.2019 06:48,08.01.2019 08:21,94127 Neuburg am Inn,Passau
08.01.2019 06:52,08.01.2019 06:44,94127 Neuburg am Inn,Passau
08.01.2019 06:56,08.01.2019 06:44,94127 Neuburg am Inn,Passau
08.01.2019 07:02,08.01.2019 07:02,Neuburg am Inn - Neukirchen am Inn,Passau
08.01.2019 08:09,08.01.2019 08:09,Tiefenbach (Kreis Passau),Passau
08.01.2019 08:09,08.01.2019 07:50,Tiefenbach (Kreis Passau),Passau
08.01.2019 08:09,08.01.2019 06:45,Tiefenbach (Kreis Passau),Passau
08.01.2019 08:10,08.01.2019 14:28,Tiefenbach (Kreis Passau),Passau
08.01.2019 08:29,08.01.2019 08:29,Tiefenbach (Kreis Passau),Passau
08.01.2019 08:29,08.01.2019 08:24,Tiefenbach (Kreis Passau),Passau
08.01.2019 08:29,08.01.2019 06:54,Tiefenbach (Kreis Passau),Passau
08.01.2019 08:30,08.01.2019 15:20,Tiefenbach (Kreis Passau),Passau
08.01.2019 10:13,08.01.2019 10:13,Passau,Passau
08.01.2019 10:13,08.01.2019 11:44,Passau,Passau
08.01.2019 10:13,08.01.2019 09:43,Passau,Passau
