Haltestellenname,route,name_sanitized
Meßnerschlag,6102,Meßnerschlag
Kramerschlag,6102,Kramerschlag
"Wasserstatt, Richtermühle",6102,"Wasserstatt, Richtermühle"
"Wegscheid, Krankenhaus",6102,"Wegscheid, Krankenhaus"
"Wegscheid, Rathaus",6102,"Wegscheid, Rathaus"
"Wegscheid, Bf",6102,"Wegscheid, Bf"
"Wegscheid, Abzw Aiglsöd",6102,"Wegscheid, Abzw Aiglsöd"
Hartmannsreuth,6102,Hartmannsreuth
Eidenberg,6102,Eidenberg
"Kappel, Abzw",6102,"Kappel, Abzw"
Maierhof bei Wildenranna,6102,Maierhof bei Wildenranna
"Wegscheid, Abzw Bf",6102,"Wegscheid, Abzw Bf"
Niederwegscheid,6102,Niederwegscheid
"Mitterwasser, Abzw",6102,"Mitterwasser, Abzw"
"Maierhoferbrücke, Rannasee",6102,"Maierhoferbrücke, Rannasee"
Petermühle,6102,Petermühle
Oberötzdorf b. Untergriesbach,6102,Oberötzdorf bei Untergriesbach
Unterötzdorf,6102,Unterötzdorf
Pölzöd,6102,Pölzöd
Wildenranna,6102,Wildenranna
Ficht-Oberötzdorf Abzw,6102,Ficht-Oberötzdorf Abzw
"Untergriesbach, Stefflhäusl",6102,"Untergriesbach, Stefflhäusl"
"Untergriesbach, Marktstraße",6102,"Untergriesbach, Marktstraße"
"Untergriesbach, Fa. Heigl",6102,"Untergriesbach, Fa. Heigl"
"Untergriesbach, Marktplatz",6102,"Untergriesbach, Marktplatz"
Saxing,6102,Saxing
Pfaffenreut,6102,Pfaffenreut
"Untergriesbach, Fa. Heigl",6102,"Untergriesbach, Fa. Heigl"
Würmholz,6102,Würmholz
"Habersdorf, Abzw.",6102,"Habersdorf, Abzw."
"Haunersdorf, Abzw Pfaffenreut",6102,"Haunersdorf, Abzw Pfaffenreut"
Neu-Ziering,6102,Neu-Ziering
Alt-Ziering,6102,Alt-Ziering
Leizesberg,6102,Leizesberg
"Kropfmühl, Graphitwerk",6102,"Kropfmühl, Graphitwerk"
"Germannsdorf, Abzw",6102,"Germannsdorf, Abzw"
"Schachert, Haus Nr. 3",6102,"Schachert, Haus Nr. 3"
"Germannsdorf, Abzw. Kollersberg",6102,"Germannsdorf, Abzw. Kollersberg"
"Hauzenberg, Hauptschule",6102,"Hauzenberg, Hauptschule"
"Germannsdorf, Gesundhof",6102,"Germannsdorf, Gesundhof"
Ruhmannsdorf bei Kropfmühl,6102,Ruhmannsdorf bei Kropfmühl
Spechting,6102,Spechting
Eisenbüchl,6102,Eisenbüchl
Kappelgarten,6102,Kappelgarten
Kohlwies,6102,Kohlwies
"Hochwinkl, Gh Kneidinger",6102,"Hochwinkl, Gh Kneidinger"
"Hochwinkl, Anw. Bogner",6102,"Hochwinkl, Anw. Bogner"
Schönau bei Wegscheid,6102,Schönau bei Wegscheid
"Schönau, Anw. Kasberger",6102,"Schönau, Anw. Kasberger"
"Krennerhäuser, Abzw",6102,"Krennerhäuser, Abzw"
Froschau,6102,Froschau
Kasberg,6102,Kasberg
"Krennerhäuser, Abzw",6102,"Krennerhäuser, Abzw"
"Kleinrathberg, Abzw",6102,"Kleinrathberg, Abzw"
"Sperlbrunn, Steindlberg",6102,"Sperlbrunn, Steindlberg"
"Sperlbrunn, Hazoth",6102,"Sperlbrunn, Hazoth"
"Sperlbrunn, Reischlhof",6102,"Sperlbrunn, Reischlhof"
Stüblhäuser,6102,Stüblhäuser
"Jahrdorf, Kapelle",6102,"Jahrdorf, Kapelle"
Sterlwaid,6102,Sterlwaid
Eben bei Hauzenberg,6102,Eben bei Hauzenberg
Mühlberg bei Hauzenberg,6102,Mühlberg bei Hauzenberg
"Hauzenberg, Abzw Bf",6102,"Hauzenberg, Abzw Bf"
"Hauzenberg, Post",6102,"Hauzenberg, Post"
"Hauzenberg, Busbahnhof",6102,"Hauzenberg, Busbahnhof"
"Hauzenberg, Realschule",6102,"Hauzenberg, Realschule"
"Passau, Hbf",6103,"Passau, Hbf"
"Passau, Am Schanzlturm",6103,"Passau, Am Schanzlturm"
"Passau, Nagelschmiedgasse",6103,"Passau, Nagelschmiedgasse"
"Passau, Rathaus",6103,"Passau, Rathaus"
"Passau, Römerplatz",6103,"Passau, Römerplatz"
"Passau, Aufischer",6103,"Passau, Aufischer"
"Passau, Zahnradfabrik, Werk 1",6103,"Passau, Zahnradfabrik, Werk 1"
"Passau, Lindau",6103,"Passau, Lindau"
Löwmühle,6103,Löwmühle
Kernmühle,6103,Kernmühle
"Kellberg, Sonnenhang",6103,"Kellberg, Sonnenhang"
"Buchsee, Abzw",6103,"Buchsee, Abzw"
"Kellberg, Oberes Bergfeld",6103,"Kellberg, Oberes Bergfeld"
"Kellberg, Kirche",6103,"Kellberg, Kirche"
"Kellberg, Raiffeisenbank",6103,"Kellberg, Raiffeisenbank"
"Kellberg, Kellberger Weinstube",6103,"Kellberg, Kellberger Weinstube"
"Kellberg, Klinik Prof. Schedel",6103,"Kellberg, Klinik Prof. Schedel"
Fattendorf,6103,Fattendorf
Zwölfling,6103,Zwölfling
"Mitteröd, Abzw",6103,"Mitteröd, Abzw"
"Kaindlmühle, Haltepunkt",6103,"Kaindlmühle, Haltepunkt"
"Haag, Waldsiedlung",6103,"Haag, Waldsiedlung"
"Haag, Post",6103,"Haag, Post"
Windpassing bei Haag,6103,Windpassing bei Haag
"Innerhartsberg, Abzw",6103,"Innerhartsberg, Abzw"
"Niederbrünst, Abzw",6103,"Niederbrünst, Abzw"
"Renfting, Abzw",6103,"Renfting, Abzw"
"Erlet, Abzw",6103,"Erlet, Abzw"
"Jahrdorf, Kapelle",6103,"Jahrdorf, Kapelle"
Sterlwaid,6103,Sterlwaid
Eben bei Hauzenberg,6103,Eben bei Hauzenberg
Mühlberg bei Hauzenberg,6103,Mühlberg bei Hauzenberg
"Hauzenberg, Abzw Bf",6103,"Hauzenberg, Abzw Bf"
"Hauzenberg, Post",6103,"Hauzenberg, Post"
"Hauzenberg, Busbahnhof",6103,"Hauzenberg, Busbahnhof"
"Passau, Hbf",6106,"Passau, Hbf"
"Passau, ZOB",6106,"Passau, ZOB"
"Passau, Leopoldstraße",6106,"Passau, Leopoldstraße"
"Passau, Giselastraße",6106,"Passau, Giselastraße"
"Passau, St. Anton",6106,"Passau, St. Anton"
"Passau, Schulzentrum/AOK",6106,"Passau, Schulzentrum/AOK"
"Passau, Kainzenweg",6106,"Passau, Kainzenweg"
"Passau, Schönleitnerweg",6106,"Passau, Schönleitnerweg"
"Passau, Breslauer Straße",6106,"Passau, Breslauer Straße"
"Passau, Traminer Straße",6106,"Passau, Traminer Straße"
"Passau, Kohlbruck",6106,"Passau, Kohlbruck"
Schönplatzl,6106,Schönplatzl
Langbruck bei Passau,6106,Langbruck bei Passau
"Pfenningbach, Hauptstraße",6106,"Pfenningbach, Hauptstraße"
"Neukirchen a. Inn, Sportplatz",6106,"Neukirchen a. Inn, Sportplatz"
Fürstdobl,6106,Fürstdobl
Schmelzing,6106,Schmelzing
"Schmelzing, Abzw",6106,"Schmelzing, Abzw"
"Straß b. Neuburg a.Inn, Schloß",6106,"Straß bei Neuburg a.Inn, Schloß"
Dommelstadl,6106,Dommelstadl
Neuburg a. Inn,6106,Neuburg a. Inn
Reuth,6106,Reuth
"Reuth, Gärtnerei",6106,"Reuth, Gärtnerei"
Kopfsberg,6106,Kopfsberg
"Rothof, Anw Pilstl",6106,"Rothof, Anw Pilstl"
"Rothof, Hartlmühle",6106,"Rothof, Hartlmühle"
Voglmühle,6106,Voglmühle
"Vornbach a. Inn, Schaueroedstr.",6106,"Vornbach a. Inn, Schaueroedstr."
"Vornbach a. Inn, Gh Resch",6106,"Vornbach a. Inn, Gh Resch"
"Vornbach a. Inn, Raiba",6106,"Vornbach a. Inn, Raiba"
"Vornbach a. Inn, Abzw",6106,"Vornbach a. Inn, Abzw"
Niederschärding,6106,Niederschärding
"Neuhaus a. Inn, Am Klosterfeld",6106,"Neuhaus a. Inn, Am Klosterfeld"
"Neuhaus a. Inn, Kriegerdenkmal",6106,"Neuhaus a. Inn, Kriegerdenkmal"
"Neuhaus a. Inn, Volksfestplatz",6106,"Neuhaus a. Inn, Volksfestplatz"
"Pumstetten, Abzw",6106,"Pumstetten, Abzw"
"Sulzbach, Neuhauser Str. 15",6106,"Sulzbach, Neuhauser Str. 15"
"Mittich, Kirchplatz",6106,"Mittich, Kirchplatz"
"Schärding, Tummelplatzstr.",6106,"Schärding, Tummelplatzstr."
"Sulzbach, Bf",6106,"Sulzbach, Bf"
Eholfing,6106,Eholfing
Wartmanning,6106,Wartmanning
Holzhäuser bei Ruhstorf,6106,Holzhäuser bei Ruhstorf
"Pillham, Schützenhaus",6106,"Pillham, Schützenhaus"
"Pillham, Abzw",6106,"Pillham, Abzw"
"Ruhstorf, Kreuzkoppe",6106,"Ruhstorf, Kreuzkoppe"
"Ruhstorf, Breslauer-Str.",6106,"Ruhstorf, Breslauer-Str."
"Ruhstorf, Metzgerei Steer",6106,"Ruhstorf, Metzgerei Steer"
"Ruhstorf, Bf",6106,"Ruhstorf, Bf"
"Rottau, Abzw. B 388",6106,"Rottau, Abzw. B 388"
"Mittich, Post",6106,"Mittich, Post"
Reding,6106,Reding
"Hartkirchen, Keltenschanze",6106,"Hartkirchen, Keltenschanze"
"Hartkirchen, Mariensäule",6106,"Hartkirchen, Mariensäule"
"Hartkirchen, Raiffeisenbank",6106,"Hartkirchen, Raiffeisenbank"
"Hartkirchen, Schule",6106,"Hartkirchen, Schule"
Niederindling,6106,Niederindling
Oberindling,6106,Oberindling
Neuindling,6106,Neuindling
"Pocking, Bahnhof",6106,"Pocking, Bahnhof"
"Pocking, Passauer-Str./Förd.sch",6106,"Pocking, Passauer-Str./Förd.sch"
"Pocking, Zentrum",6106,"Pocking, Zentrum"
"Pocking, Rathaus",6106,"Pocking, Rathaus"
"Pocking, Hauptschule",6106,"Pocking, Hauptschule"
"Pocking, OBI",6106,"Pocking, OBI"
"Pocking, Gymnasium",6106,"Pocking, Gymnasium"
"Pocking, Süd",6106,"Pocking, Süd"
Pram,6106,Pram
"Haid, Gärtnerei",6106,"Haid, Gärtnerei"
Angering bei Bad Füssing,6106,Angering bei Bad Füssing
"Bad Füssing, Füssinger Hof",6106,"Bad Füssing, Füssinger Hof"
"Bad Füssing, Kath. Kirche",6106,"Bad Füssing, Kath. Kirche"
"Bad Füssing, Füssinger Hof",6106,"Bad Füssing, Füssinger Hof"
"Safferstetten, Dorfplatz",6106,"Safferstetten, Dorfplatz"
"Kirchham, Haslinger Hof",6106,"Kirchham, Haslinger Hof"
"Kirchham, Haus Senator",6106,"Kirchham, Haus Senator"
"Kirchham, Schule",6106,"Kirchham, Schule"
"Tutting, Kapelle",6106,"Tutting, Kapelle"
Faltlleithen,6106,Faltlleithen
Aicha bei Rotthalmünster,6106,Aicha bei Rotthalmünster
"Rotthalmünster, Marktplatz",6106,"Rotthalmünster, Marktplatz"
"Rotthalmünster, Krankenhaus",6106,"Rotthalmünster, Krankenhaus"
"Schambach, Abzw Rotthalm.",6106,"Schambach, Abzw Rotthalm."
"Malching, Gh z Post",6106,"Malching, Gh z Post"
Kühstein,6106,Kühstein
"Ering, Wendeplatz",6106,"Ering, Wendeplatz"
"Pettenau, Abzw",6106,"Pettenau, Abzw"
Edmaier,6106,Edmaier
"Prienbach, Gh Post",6106,"Prienbach, Gh Post"
Dietmaning,6106,Dietmaning
Waltersdorf bei Simbach a.Inn,6106,Waltersdorf bei Simbach a.Inn
"Erlach, Kirche",6106,"Erlach, Kirche"
"Simbach a.Inn, Busbahnhof / Bf",6106,"Simbach a.Inn, Busbahnhof / Bf"
"Safferstetten, Feuerwehrhaus",6106,"Safferstetten, Feuerwehrhaus"
Egglfing,6106,Egglfing
"Riedenburg, Badehaus Kranzmann",6106,"Riedenburg, Badehaus Kranzmann"
"Bad Füssing, Abzw Johannesbad",6106,"Bad Füssing, Abzw Johannesbad"
"Würding, Raiffeisenbank",6106,"Würding, Raiffeisenbank"
"Würding, Am Gänseacker",6106,"Würding, Am Gänseacker"
Egglfing,6106,Egglfing
"Würding, Weidach",6106,"Würding, Weidach"
"Würding, Am Gänseacker",6106,"Würding, Am Gänseacker"
"Würding, Raiffeisenbank",6106,"Würding, Raiffeisenbank"
"Bad Füssing, Hochhaus Schwarz",6106,"Bad Füssing, Hochhaus Schwarz"
"Bad Füssing, Abzw Johannesbad",6106,"Bad Füssing, Abzw Johannesbad"
"Riedenburg, Badehaus Kranzmann",6106,"Riedenburg, Badehaus Kranzmann"
"Bad Füssing, Europa-Therme",6106,"Bad Füssing, Europa-Therme"
"Bad Füssing, Kath. Kirche",6106,"Bad Füssing, Kath. Kirche"
Haar bei Pocking,6106,Haar bei Pocking
"Beham, Abzw",6106,"Beham, Abzw"
Voglöd bei Würding,6106,Voglöd bei Würding
Oberreuthen,6106,Oberreuthen
"Safferstetten, Feuerwehrhaus",6106,"Safferstetten, Feuerwehrhaus"
"Safferstetten, Dorfplatz",6106,"Safferstetten, Dorfplatz"
Rottfelling,6107,Rottfelling
Kühbach bei Rotthalmünster,6107,Kühbach bei Rotthalmünster
Hubreith,6107,Hubreith
"Moosmühle, Abzw",6107,"Moosmühle, Abzw"
Ragern,6107,Ragern
"Kößlarn, Unterer Markt",6107,"Kößlarn, Unterer Markt"
Kohlleiten,6107,Kohlleiten
Oberwesterbach,6107,Oberwesterbach
Hirla,6107,Hirla
"Pattenham, Feuerwehrhaus",6107,"Pattenham, Feuerwehrhaus"
"Pattenham, Sagermühle",6107,"Pattenham, Sagermühle"
"Rotthalmünster, Marktplatz",6107,"Rotthalmünster, Marktplatz"
"Rotthalmünster, Bf",6107,"Rotthalmünster, Bf"
Aicha bei Rotthalmünster,6107,Aicha bei Rotthalmünster
Weinberg,6107,Weinberg
Faltlleithen,6107,Faltlleithen
"Tutting, Kapelle",6107,"Tutting, Kapelle"
"Kirchham, Schule",6107,"Kirchham, Schule"
"Kirchham, Haus Senator",6107,"Kirchham, Haus Senator"
"Kirchham, Haslinger Hof",6107,"Kirchham, Haslinger Hof"
"Bad Füssing, Füssinger Hof",6107,"Bad Füssing, Füssinger Hof"
"Pocking, Rathaus",6107,"Pocking, Rathaus"
"Pocking, Bahnhof",6107,"Pocking, Bahnhof"
Neuindling,6107,Neuindling
"Passau, Traminer Straße",6107,"Passau, Traminer Straße"
"Passau, Schönleitnerweg",6107,"Passau, Schönleitnerweg"
"Passau, Schulzentrum/AOK",6107,"Passau, Schulzentrum/AOK"
"Passau, ZOB",6107,"Passau, ZOB"
"Passau, Hbf",6107,"Passau, Hbf"
"Vilshofen, Bahnhof",6108,"Vilshofen, Bahnhof"
"Vilshofen, Gymnasium",6108,"Vilshofen, Gymnasium"
"Vilshofen, Ellinger",6108,"Vilshofen, Ellinger"
"Vilshofen, Leebmann",6108,"Vilshofen, Leebmann"
"Zeitlarn, Abzw Dinglreit",6108,"Zeitlarn, Abzw Dinglreit"
"Zeitlarn, Gh Heiland",6108,"Zeitlarn, Gh Heiland"
"Oberzeitlarn, Schule",6108,"Oberzeitlarn, Schule"
Knadlarn,6108,Knadlarn
"Kaltenöd, Abzw",6108,"Kaltenöd, Abzw"
"Blindham, Neustift",6108,"Blindham, Neustift"
"Neustift bei Vilsh., Kloster",6108,"Neustift bei Vilsh., Kloster"
"Blindham, Kronthalstr.",6108,"Blindham, Kronthalstr."
"Maierhof, Abzw Holzkirchen",6108,"Maierhof, Abzw Holzkirchen"
Weng bei Ortenburg,6108,Weng bei Ortenburg
Söldenau,6108,Söldenau
"Söldenau, Abzw Unteriglbach",6108,"Söldenau, Abzw Unteriglbach"
Kamm,6108,Kamm
"Ortenburg, Bahnhofstr.",6108,"Ortenburg, Bahnhofstr."
"Ortenburg, Marktplatz",6108,"Ortenburg, Marktplatz"
"Ortenburg, Metzgerei Kriegl",6108,"Ortenburg, Metzgerei Kriegl"
Steinkirchen bei Ortenburg,6108,Steinkirchen bei Ortenburg
"Dorfbach, Gh Gruber",6108,"Dorfbach, Gh Gruber"
"Haidenburg, Ortsanfang",6109,"Haidenburg, Ortsanfang"
"Uttigkofen, Pfarrhofweg",6109,"Uttigkofen, Pfarrhofweg"
"Uttigkofen, Kirche",6109,"Uttigkofen, Kirche"
"Uttigkofen, Abzw. Galgenberg",6109,"Uttigkofen, Abzw. Galgenberg"
"Freundorf, Kreuzung",6109,"Freundorf, Kreuzung"
Heinrichsdorf,6109,Heinrichsdorf
"Pörndorf, Abzw. Moos/Schlosserei",6109,"Pörndorf, Abzw. Moos/Schlosserei"
"Pörndorf, Neuer Dorfplatz",6109,"Pörndorf, Neuer Dorfplatz"
"Galgweis, Abzw Gainstorf",6109,"Galgweis, Abzw Gainstorf"
Gainstorf,6109,Gainstorf
Kriestorf,6109,Kriestorf
"Walchsing, Theresienstr.",6109,"Walchsing, Theresienstr."
"Walchsing, Ortsmitte",6109,"Walchsing, Ortsmitte"
"Maierhof, Haus-Nr.1",6109,"Maierhof, Haus-Nr.1"
Reisach bei Pleinting,6109,Reisach bei Pleinting
Blaimberg,6109,Blaimberg
Thannet,6109,Thannet
"Eben, Abzw Thannet",6109,"Eben, Abzw Thannet"
Seier,6109,Seier
Schullering,6109,Schullering
"Alkofen b. Vilsh., West",6109,"Alkofen bei Vilsh., West"
"Alkofen b. Vilsh., Gh Eberhard",6109,"Alkofen bei Vilsh., Gh Eberhard"
"Alkofen b. Vilsh, Straßerödweg",6109,"Alkofen bei Vilsh, Straßerödweg"
Hennersreit,6109,Hennersreit
"Dorf, Gh Breitenfelder",6109,"Dorf, Gh Breitenfelder"
"Alkofen b. Vilsh., Ernst",6109,"Alkofen bei Vilsh., Ernst"
"Alkofen b. Vilsh., Abzw Unterreit",6109,"Alkofen bei Vilsh., Abzw Unterreit"
"Haißenöd, Kapelle",6109,"Haißenöd, Kapelle"
Hölzlöd,6109,Hölzlöd
"Hördt, Abzw",6109,"Hördt, Abzw"
"Waizenbach, Hechinger",6109,"Waizenbach, Hechinger"
Schweiklberg,6109,Schweiklberg
"Vilshofen, Stadtplatz",6109,"Vilshofen, Stadtplatz"
"Vilshofen, Bahnhof",6109,"Vilshofen, Bahnhof"
"Passau, Hbf",6110,"Passau, Hbf"
"Passau, Am Schanzl(Busbucht)",6110,"Passau, Am Schanzl(Busbucht)"
"Passau, Eggendobl",6110,"Passau, Eggendobl"
Patriching,6110,Patriching
"Schwaiberg, Waldstr.",6110,"Schwaiberg, Waldstr."
"Tiefenbach, Kieswerk",6110,"Tiefenbach, Kieswerk"
"Tiefenbach, R.-Töpfl-Str.",6110,"Tiefenbach, R.-Töpfl-Str."
"Tiefenbach, Bayerwaldstr.",6110,"Tiefenbach, Bayerwaldstr."
Gotting bei Tiefenbach,6110,Gotting bei Tiefenbach
"Schwaiberg, Gh Bauer",6110,"Schwaiberg, Gh Bauer"
Hof bei Tiefenbach,6110,Hof bei Tiefenbach
Lohhof bei Ruderting,6110,Lohhof bei Ruderting
"Ruderting, Lohwald-Siedlung",6110,"Ruderting, Lohwald-Siedlung"
"Ruderting, Apotheke",6110,"Ruderting, Apotheke"
Ebenthal,6110,Ebenthal
Fischhaus,6110,Fischhaus
Rußöd,6110,Rußöd
"Hutthurm, Sportplatz",6110,"Hutthurm, Sportplatz"
"Hutthurm, Bayerwaldstraße",6110,"Hutthurm, Bayerwaldstraße"
"Lenzersdorf, Abzw",6110,"Lenzersdorf, Abzw"
"Kalteneck, Fuchsmühle",6110,"Kalteneck, Fuchsmühle"
Ramling,6110,Ramling
"Prag, Kaltenecker-Str.",6110,"Prag, Kaltenecker-Str."
"Tragenreuth, Abzw",6110,"Tragenreuth, Abzw"
Voglöd bei Prag,6110,Voglöd bei Prag
"Vilshofen, Bahnhof",6111,"Vilshofen, Bahnhof"
"Vilshofen, Gymnasium",6111,"Vilshofen, Gymnasium"
"Vilshofen, Postamt",6111,"Vilshofen, Postamt"
Linda,6111,Linda
"Lindach, Abzw Mühlham",6111,"Lindach, Abzw Mühlham"
"Hitzling, Abzw",6111,"Hitzling, Abzw"
Algerting,6111,Algerting
"Aunkirchen, Am Pfarrerberg",6111,"Aunkirchen, Am Pfarrerberg"
"Aunkirchen, Kirche",6111,"Aunkirchen, Kirche"
"Schönerting, Abzw",6111,"Schönerting, Abzw"
Natterbauer,6111,Natterbauer
"Aldersbach, Wifling",6111,"Aldersbach, Wifling"
"Aldersbach, Pfarrgarten",6111,"Aldersbach, Pfarrgarten"
"Hermannshöhe, Abzw",6111,"Hermannshöhe, Abzw"
Karling,6111,Karling
"Aidenbach, Unterer Markt",6111,"Aidenbach, Unterer Markt"
Hollerbach,6111,Hollerbach
"Aidenbach, Doblbauer Str.",6111,"Aidenbach, Doblbauer Str."
"Aidenbach, Marktplatz",6111,"Aidenbach, Marktplatz"
"Aidenbach, Ludwigstraße",6111,"Aidenbach, Ludwigstraße"
"Aidenbach, Plinganserstr.",6111,"Aidenbach, Plinganserstr."
"Beutelsbach, Schule",6111,"Beutelsbach, Schule"
"Passau, Hbf",6113,"Passau, Hbf"
"Passau, Am Schanzl(Busbucht)",6113,"Passau, Am Schanzl(Busbucht)"
"Passau, Eggendobl",6113,"Passau, Eggendobl"
"Passau, Sturmbergweg",6113,"Passau, Sturmbergweg"
"Passau, Bockhofweg",6113,"Passau, Bockhofweg"
